SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;SG_UF;SG_PARTIDO;NM_PARTIDO;DS_SIT_TOT_TURNO;QT_VOTOS_TOTAL;VR_DESPESA_TOTAL;POPULACAO;CUSTO_POR_VOTO;CUSTO_POR_HABITANTE
160001614486;1422;JOÃO DE DEUS SANTANA;JOÃO DO BARBANTE;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;3047;116650.35;11443208;38.283672464719395;0.010193850360842869
160001614479;1420;CRISTINA MORCELI BEZERRA DE SOUZA;ENFERMEIRA CRIS MORCELI;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;3846;51089.85;11443208;13.283892355694228;0.004464644005422256
160001614470;1444;WEVIGTON MAGNO RALDI GLATT;DR WEVIGTON GLATT;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;937;20000.0;11443208;21.34471718249733;0.001747761641665519
160001614471;1499;GERALDINO BATISTA DO NASCIMENTO;GERALDINO DA ZONA LESTE;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;326;10000.0;11443208;30.67484662576687;0.0008738808208327595
160001614472;1421;ALBARI DIAS DA SILVA;ALBARI DIAS O INTERVENCIONISTA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;150;20000.0;11443208;133.33333333333334;0.001747761641665519
160001614477;1477;CARLOS APARECIDO DE CAMARGO;PASTOR ÍNDIO;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;195;23414.760000000002;11443208;120.07569230769232;0.0020461709688402063
160001614481;1412;ELISABETH DE SOUZA ROCHA DE MOURA;BETHINHA ROCHA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;475;23300.0;11443208;49.05263157894737;0.0020361423125403295
160001614484;1401;IVANDRO APARECIDO BISCAIA;BISCAIA;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;245;9991.95;11443208;40.783469387755105;0.0008731773467719892
160001614488;1407;LUIZ ANTONIO PENTEADO SETTI;DR LUIZ SETTI;PR;PTB;Partido Trabalhista Brasileiro;NÃO ELEITO;395;30000.0;11443208;75.9493670886076;0.0026216424624982784
250001613959;3378;HELTON MICHAEL LEITE FERREIRA;HELTON MICHAEL;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;570;30000.0;44420459;52.63157894736842;0.0006753644756349772
250001613960;3313;IVANDA MARIA RODRIGUES COSTA;IVANDA R COSTA;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;429;20000.0;44420459;46.62004662004662;0.0004502429837566514
250001613961;3333;JOÃO FRANCISCO GARCIA;JOÃO GARCIA;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;3594;299860.0;44420459;83.43350027824151;0.006750493055463475
250001613962;3353;JONATHAN PEREIRA DE SOUZA;JOWNATHAN DA SAÚDE;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;231;40000.0;44420459;173.16017316017317;0.0009004859675133028
250001613964;3355;JOSÉ AUGUSTO BARBOSA DA SILVA;AUGUSTO;SP;PMN;Partido da Mobilização Nacional;NÃO ELEITO;358;20000.0;44420459;55.865921787709496;0.0004502429837566514
250001620764;5155;ANDRE EDUARDO RIBEIRO;ANDRE DO VIVA;SP;PATRIOTA;Patriota;NÃO ELEITO;21114;31100.0;44420459;1.4729563322913706;0.0007001278397415929
250001620770;5141;HAROLDO LOUZADA DE MAGALHÃES VIANA;HAROLDO LOUZADA;SP;PATRIOTA;Patriota;NÃO ELEITO;2697;46196.06;44420459;17.128683722654802;0.0010399725946100646
250001620774;5149;RAFAEL ANGELO ABUD;RAFAEL ABUD;SP;PATRIOTA;Patriota;NÃO ELEITO;196;0.0;44420459;0.0;0.0
250001620776;5138;ARMANDO INFANTI JUNIOR;ARMANDO INFANTI JR;SP;PATRIOTA;Patriota;NÃO ELEITO;511;70100.0;44420459;137.18199608610567;0.0015781016580670632
250001620744;5109;EMERSON LUIZ DA CRUZ;EMERSON CRUZ;SP;PATRIOTA;Patriota;NÃO ELEITO;91;0.0;44420459;0.0;0.0
250001620742;5159;CLAUDIA SANTOS LEAL;CLAUDIA LEAL;SP;PATRIOTA;Patriota;NÃO ELEITO;475;128787.27;44420459;271.1310947368421;0.0028992782357336743
250001620720;5178;MARLENE MARIA RAMOS;MARLENE RAMOS;SP;PATRIOTA;Patriota;NÃO ELEITO;259;30000.0;44420459;115.83011583011583;0.0006753644756349772
250001620763;5156;CLAUDIO PERESSIM;PERESSIM;SP;PATRIOTA;Patriota;NÃO ELEITO;580;99995.51;44420459;172.4060517241379;0.0022511138392334036
250001620745;5179;FABRICIO DE CARVALHO SILVA;FABRICIO CARVALHO;SP;PATRIOTA;Patriota;NÃO ELEITO;1050;60000.0;44420459;57.142857142857146;0.0013507289512699543
250001620710;5181;THEREZA CHRISTINA FARIA LIMA;THEREZA FARIA LIMA;SP;PATRIOTA;Patriota;NÃO ELEITO;647;34600.0;44420459;53.47758887171561;0.000778920361899007
130001612806;2807;BRUNO DE SOUZA CARDOZO ACHILLES;BRUNO ACHILLES;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;282;700.0;20538718;2.482269503546099;3.408197142586991e-05
130001612816;2803;JOB VICENTE RODRIGUES;JOB DA RECICLAGEM;MG;PRTB;Partido Renovador Trabalhista Brasileiro;NÃO ELEITO;430;3000.0;20538718;6.976744186046512;0.00014606559182515677
